strata,description,land size,year,land,building,total value
7,,1840,,202000,0,202000
7,,2174,,239000,0,239000
7,,2174,,239000,0,239000
7,residential,9490,1997,2847000,22100,2869100
7,storage,8712,1977,2613000,7200,2620200
8,storage,58722,1961,18203000,35700,18238700
8,,21308,,2770000,0,2770000
8,town house,833,2007,476000,0,476000
8,residential,9980,1959,904000,13600,917600
8,residential,9701,1956,895000,59600,954600
8,residential,9096,1955,1507000,12100,1519100
8,residential,7028,1955,801000,196000,997000
8,residential,9190,1958,791000,83500,874500
8,retail store,1788 Acres,2005,25702000,88200,25790200
8,residential,9118,1993,675000,254000,929000
8,residential,7325,1955,1587000,14800,1601800
8,town house,425,2007,265100,0,265100
8,retail store,18326,1969,421400,6000,427400
8,,10691,,3100000,0,3100000
8,residential,52313,,14006000,4334000,18340000
8,residential,174247,1977,4443000,1894000,6337000
8,,9900,,631000,0,631000
8,town house,1253,1996,681000,0,681000
8,school,14.66 Acres,2016,5166000,11206000,16372000
8,townhouse,594,1998,358600,0,358600
8,retail store,1.03 Acres ,2013,11660000,97300,11757300
8,unclassified ,35980,,10092000,4500000,14592000
8,residential,8002,1958,2040000,7900,2047900
8,townhouse,1165,1977,620000,0,620000
8,residential,5995,1977,720000,103000,823000
8,residential,5995,1977,720000,134000,854000
8,retail store,48418,2008,12588000,50000,12638000
8,residential,6627,1974,864000,157000,1021000
8,residential,6439,1991,856000,264000,1120000
8,residential,6975,1974,879000,17000,896000
8,residential,7172,1974,887000,131000,1018000
8,residential,6133,1968,841000,114000,955000
8,residential,7817,1958,914000,205000,1119000
8,residential,7184,1974,888000,117000,1005000
8,residential,7222,1958,890000,45200,935200
8,residential,7805,1968,872000,122000,994000
8,residential,7805,1958,87200,165000,252200
8,residential,7924,1956,793000,74100,867100
8,townhouse,1061,1973,630200,0,630200
8,residential,7325,1955,1587000,14800,1601800
8,townhouse,1112,2007,814000,0,814000
8,residential,9142,1959,877000,80300,957300
8,townhouse,1320,2011,800000,0,800000
8,residential,8430,1974,742000,172000,914000
8,residential,15349,1963,1122000,232000,1354000
8,residential,7799,1973,1047000,14800,1061800
8,residential,7871,1967,1050000,14900,1064900
8,residential,7489,1969,985000,12800,997800
8,residential,10072,1969,907000,193000,1100000
8,residential,8396,1964,852000,129000,981000
9,residential,9129,1956,877000,51700,928700
9,residential,9370,1955,1553000,18400,1571400
9,,26910,,7480000,0,7480000
9,storage,25087,1978,7274000,17200,7291200
9,unclassified,3.36 Acres,,43858000,2387000,46245000
9,townhouse,1468,2005,1075000,0,1075000
9,townhouse,863,2005,590000,0,590000
